# MacroTrends Data Download"
# AAPL - Historical Price and Volume Data"
# Historical prices are adjusted for both splits and dividends"
# Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
# MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
# delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
# for any damages relating to your use of the data provided."

date,open,high,low,close,volume
1980-12-12,0.4164,0.4182,0.4164,0.4164,117258400
1980-12-15,0.3966,0.3966,0.3947,0.3947,43971200
1980-12-16,0.3675,0.3675,0.3657,0.3657,26432000
1980-12-17,0.3747,0.3766,0.3747,0.3747,21610400
1980-12-18,0.3857,0.3874,0.3857,0.3857,18362400
1980-12-19,0.4092,0.4111,0.4092,0.4092,12157600
1980-12-22,0.4292,0.4309,0.4292,0.4292,9340800
1980-12-23,0.4473,0.4490,0.4473,0.4473,11737600
1980-12-24,0.4707,0.4726,0.4707,0.4707,12000800
1980-12-26,0.5142,0.5159,0.5142,0.5142,13893600
1980-12-29,0.5214,0.5233,0.5214,0.5214,23290400
1980-12-30,0.5106,0.5106,0.5087,0.5087,17220000
1980-12-31,0.4961,0.4961,0.4943,0.4943,8937600
1981-01-02,0.4997,0.5033,0.4997,0.4997,5415200
1981-01-05,0.4906,0.4906,0.4888,0.4888,8932000
1981-01-06,0.4688,0.4688,0.4671,0.4671,11289600
1981-01-07,0.4490,0.4490,0.4473,0.4473,13921600
1981-01-08,0.4399,0.4399,0.4381,0.4381,9956800
1981-01-09,0.4618,0.4635,0.4618,0.4618,5376000
1981-01-12,0.4618,0.4618,0.4580,0.4580,5924800
1981-01-13,0.4436,0.4436,0.4418,0.4418,5762400
1981-01-14,0.4436,0.4454,0.4436,0.4436,3572800
1981-01-15,0.4526,0.4562,0.4526,0.4526,3516800
1981-01-16,0.4507,0.4507,0.4490,0.4490,3348800
1981-01-19,0.4761,0.4780,0.4761,0.4761,10393600
1981-01-20,0.4635,0.4635,0.4618,0.4618,7520800
1981-01-21,0.4707,0.4744,0.4707,0.4707,3976000
1981-01-22,0.4761,0.4799,0.4761,0.4761,8887200
1981-01-23,0.4761,0.4780,0.4744,0.4744,2805600
1981-01-26,0.4688,0.4688,0.4671,0.4671,6160000
1981-01-27,0.4671,0.4671,0.4635,0.4635,5924800
1981-01-28,0.4507,0.4507,0.4490,0.4490,7039200
