# MacroTrends Data Download
# MSFT - Historical Price and Volume Data
# Historical prices are adjusted for both splits and dividends
# Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.#
# MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, #
# delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable#
# for any damages relating to your use of the data provided.

date,open,high,low,close,volume
1986-03-13,0.0582,0.0667,0.0582,0.0639,1031788800
1986-03-14,0.0639,0.0673,0.0639,0.0662,308160000
1986-03-17,0.0662,0.0679,0.0662,0.0673,133171200
1986-03-18,0.0673,0.0679,0.0650,0.0656,67766400
1986-03-19,0.0656,0.0662,0.0639,0.0645,47894400
1986-03-20,0.0645,0.0645,0.0622,0.0628,58435200
1986-03-21,0.0628,0.0639,0.0599,0.0610,59990400
1986-03-24,0.0610,0.0610,0.0588,0.0593,65289600
1986-03-25,0.0593,0.0605,0.0588,0.0605,32083200
1986-03-26,0.0605,0.0628,0.0599,0.0622,22752000
1986-03-27,0.0622,0.0633,0.0622,0.0633,16848000
1986-03-31,0.0633,0.0633,0.0616,0.0628,12873600
1986-04-01,0.0628,0.0628,0.0622,0.0622,11088000
1986-04-02,0.0622,0.0639,0.0622,0.0628,27014400
1986-04-03,0.0633,0.0650,0.0633,0.0633,23040000
1986-04-04,0.0633,0.0639,0.0633,0.0633,26582400
1986-04-07,0.0633,0.0639,0.0610,0.0622,16560000
1986-04-08,0.0622,0.0639,0.0622,0.0628,10252800
1986-04-09,0.0628,0.0645,0.0628,0.0639,12153600
1986-04-10,0.0639,0.0650,0.0628,0.0645,13881600
1986-04-11,0.0650,0.0667,0.0650,0.0656,17222400
1986-04-14,0.0656,0.0667,0.0656,0.0662,12153600
1986-04-15,0.0662,0.0662,0.0639,0.0662,9302400
1986-04-16,0.0662,0.0690,0.0656,0.0685,31910400
1986-04-17,0.0685,0.0690,0.0685,0.0690,22003200
1986-04-18,0.0690,0.0690,0.0662,0.0667,21628800
1986-04-21,0.0667,0.0673,0.0650,0.0667,22924800
1986-04-22,0.0667,0.0667,0.0656,0.0656,15552000
1986-04-23,0.0656,0.0662,0.0650,0.0659,15609600
1986-04-24,0.0659,0.0736,0.0656,0.0725,62352000
1986-04-25,0.0730,0.0802,0.0730,0.0770,85795200
1986-04-28,0.0770,0.0782,0.0764,0.0776,28886400
1986-04-29,0.0776,0.0776,0.0747,0.0753,30326400
1986-04-30,0.0753,0.0759,0.0719,0.0736,30902400
1986-05-01,0.0736,0.0736,0.0713,0.0725,54345600
1986-05-02,0.0725,0.0736,0.0719,0.0725,20246400
1986-05-05,0.0725,0.0725,0.0719,0.0719,3254400
1986-05-06,0.0725,0.0736,0.0725,0.0725,9734400
1986-05-07,0.0725,0.0730,0.0713,0.0725,5155200
1986-05-08,0.0725,0.0730,0.0719,0.0730,3542400
1986-05-09,0.0730,0.0730,0.0725,0.0725,6076800
1986-05-12,0.0725,0.0747,0.0725,0.0730,10483200
1986-05-13,0.0730,0.0742,0.0730,0.0736,3830400
1986-05-14,0.0736,0.0736,0.0730,0.0730,9302400
1986-05-15,0.0730,0.0742,0.0730,0.0730,3801600
1986-05-16,0.0730,0.0753,0.0730,0.0736,11952000
1986-05-19,0.0736,0.0736,0.0719,0.0725,11001600
1986-05-20,0.0725,0.0725,0.0713,0.0719,61977600
1986-05-21,0.0719,0.0725,0.0707,0.0707,8092800
1986-05-22,0.0707,0.0713,0.0707,0.0707,4406400
1986-05-23,0.0707,0.0719,0.0707,0.0707,4089600
1986-05-27,0.0707,0.0730,0.0707,0.0730,13881600
1986-05-28,0.0730,0.0753,0.0730,0.0753,15523200
1986-05-29,0.0753,0.0782,0.0747,0.0770,45676800
1986-05-30,0.0776,0.0810,0.0776,0.0799,27072000
1986-06-02,0.0799,0.0799,0.0776,0.0776,19728000
1986-06-03,0.0776,0.0776,0.0764,0.0776,5011200
1986-06-04,0.0776,0.0782,0.0764,0.0770,4723200
1986-06-05,0.0770,0.0782,0.0764,0.0782,13708800
1986-06-06,0.0782,0.0782,0.0770,0.0782,3427200
1986-06-09,0.0782,0.0782,0.0747,0.0747,12672000
1986-06-10,0.0747,0.0747,0.0736,0.0747,3427200
1986-06-11,0.0747,0.0747,0.0736,0.0747,2304000
1986-06-12,0.0747,0.0747,0.0713,0.0719,13708800
1986-06-13,0.0719,0.0725,0.0713,0.0719,7891200
1986-06-16,0.0719,0.0725,0.0707,0.0713,9590400
1986-06-17,0.0719,0.0736,0.0719,0.0725,13075200
1986-06-18,0.0725,0.0725,0.0707,0.0719,4348800
1986-06-19,0.0719,0.0725,0.0707,0.0713,8467200
1986-06-20,0.0713,0.0719,0.0713,0.0716,3801600
1986-06-23,0.0716,0.0725,0.0702,0.0725,46195200
1986-06-24,0.0725,0.0730,0.0713,0.0719,14572800
1986-06-25,0.0719,0.0725,0.0707,0.0707,15235200
1986-06-26,0.0707,0.0713,0.0685,0.0685,19152000
